word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
hero,0.8186926,0.061965223,-0.6486287,-2.3106382,1.2463375,-0.45771837,0.94224006,-2.318293,0.3398639,2.5809624,-0.043651767,-0.3376458,0.06321314,-0.26906255,-0.6261723,-0.08083706,1.2310258,0.020388551,-0.4495411,-1.06969,-0.92403704,-0.1525088,1.2563471,1.0021213,-0.3186103,1.8132143,-1.0189297,-0.5439313,-2.5238419,-0.8101597,3.2556403,0.6309948,1.3439751,-0.967225,0.53564805,-1.049166,-1.0607986,-0.92546797,0.4628011,0.25634453,0.9503834,0.61873925,-0.22798193,0.75369406,-0.14699978,-2.2246675,1.4949244,-0.28036264,1.4391303,-1.8980756
literally,-1.681879,-0.35981026,-0.97630626,-0.9371713,1.8726172,1.5022713,1.1512231,-2.223456,0.2960603,1.9556063,-0.8625505,-0.9042147,-1.0486875,0.5205011,0.1827039,-1.022153,0.8566353,-0.49147606,1.5468115,1.2757401,0.76829326,0.37423202,-0.49553007,0.31207228,1.4520746,0.4734156,-1.0295675,-2.170606,-0.21615593,-1.6765835,3.9502602,-0.13495976,-0.65918905,-1.3399333,0.5452362,-1.3651236,2.1095138,2.4942744,0.6109289,-0.1294932,0.9709183,1.4872826,0.45864454,-0.013318662,0.6721029,-0.39372867,-0.984254,2.467715,0.3611316,0.5565993
looking,-1.6793966,-0.57751554,-2.5932713,-1.513221,-1.318994,0.29085124,0.4512841,0.6911395,-0.76277864,0.93922,1.4017934,-0.65082353,-1.8583783,1.2451218,0.18440929,-0.6826771,-1.3115182,1.2573617,0.57767624,-0.26402333,-1.1196791,-0.6259192,-1.1203516,-2.0174525,-2.0095243,2.8262458,0.9494325,-1.5684032,-0.6338015,0.66164273,2.026484,2.7026007,0.7268529,-0.30150408,0.2684792,1.3135037,-0.40637672,0.34939113,1.6450047,-0.3271321,-1.0798266,2.5539048,-1.1554577,-0.5134414,0.18038589,-0.46808362,-1.1552655,-0.306042,-0.15581752,2.5499327
defence,0.018608138,1.9884381,0.5038347,1.6217128,-0.903415,-0.7491946,2.686022,0.0711142,-0.46269894,1.2145057,-2.0979826,1.2478126,0.6687862,-2.5391443,1.4253939,0.4522975,-1.4902238,0.37654278,-0.46956822,-1.147825,-2.8468497,0.8882239,2.3303893,-0.50178975,0.6919581,0.59181947,-1.1585515,0.62211466,-2.4000757,-1.0840588,-1.446629,-0.4877465,-1.1745794,0.27510634,0.24097212,-0.19400336,0.24854216,-0.29683253,-0.619532,0.6671028,0.51233864,-0.35575432,0.6786389,-0.14593124,1.5350447,1.5380492,-1.3559654,-0.8622051,-1.5704018,-2.4132488
changing,-1.5523397,1.5688341,-1.0577906,0.10709762,0.5084932,-0.89598364,-0.45712417,-0.4375931,-0.61488307,-0.27978715,0.9251681,-0.3036487,-1.6048576,0.33311617,-1.2136637,0.74029356,-0.58423716,0.05006361,-1.0863923,0.5321919,1.8212125,0.3196008,-0.74520284,-0.28258228,-0.31620237,0.39972568,-0.025419742,1.1056992,0.35495362,0.23995629,0.48894998,0.44741693,-0.40778935,-0.6490976,-0.9693857,0.5151424,-0.93256414,-1.0276126,0.46890718,1.0991057,0.5820313,0.78670585,0.59312785,-0.86232466,0.21503945,-0.30441642,-2.6701932,0.03786259,-0.20529892,1.6175283
males,0.18103726,0.64848167,0.8017139,-0.8217243,-0.998324,0.41878,-0.9890604,-1.7845186,1.1239318,-0.13874318,-3.0222456,-0.76596683,4.0833025,-2.3813927,-1.3539459,-0.14707991,2.7380662,-0.5377135,0.305299,4.303867,-0.2533795,-1.4022046,-1.8795859,-1.216792,-4.478334,-2.0427423,1.230815,-2.017346,-0.23852429,1.2968785,-3.447507,1.7244327,0.9153812,-0.095387675,-0.9294501,0.78857803,0.01622564,3.2464259,-4.832514,-1.8658024,2.7542326,0.093110904,4.280767,-0.8841501,2.8840234,-1.7207825,-0.5093762,-1.0012388,-1.337521,1.2146561
selection,-0.46579638,0.61166435,0.020546893,0.974009,0.17327656,0.37420785,-0.42727494,-0.21974649,-0.18604723,-0.05215738,-0.73118854,-1.7219521,0.61898756,0.7558212,-1.5831827,0.8226863,0.2611556,1.3036183,-0.16613936,-0.16221297,-1.5405676,0.3540528,-3.6153364,-0.37672365,-1.3165795,1.2797728,1.8280861,1.1468039,0.5589492,1.1604571,1.0902674,-0.4004416,-0.86077225,-0.35943192,-1.5397866,-0.18604742,-2.2382934,-0.2785124,1.4779701,1.4566786,0.3416844,-0.69488704,1.2472159,0.10542798,0.16881604,1.331346,-1.2696513,-0.99952275,0.7280424,-0.49620876
entitled,-1.826492,-0.55006385,-2.338305,-1.4486502,1.5542773,-0.035688907,0.021673692,-0.90189505,-0.058685336,-0.02075318,-2.2536058,-1.1989534,-0.39073735,0.9415825,-0.09289594,-0.21139885,0.650734,-0.6564783,1.5693436,-2.555416,0.4065736,-0.7950835,0.034534767,1.458758,-1.0893098,0.70594835,-0.9336581,1.1457785,0.1617637,0.91936743,2.3192878,0.15384117,0.7906568,0.41840076,-0.13282761,0.07424876,-0.88515943,-1.1257479,0.2327264,-1.5778981,-0.124743395,-0.5607706,1.222369,0.5309093,-0.3747961,-0.5021953,0.41720852,-2.019206,-0.6492927,-1.6422008
existed,-0.0013655616,1.8165379,0.06296696,-0.28396788,0.3684788,-1.8833464,0.011295469,0.08910247,-1.1056863,0.15369923,0.030832162,-0.46758094,-1.2847847,-1.1593584,-4.164553,0.88969696,-1.7588983,-1.1205512,1.0088398,3.8097174,-0.08444416,0.37697345,-1.6619858,-1.2877936,-0.51227295,-1.2380651,0.20391774,-1.232475,0.58983636,-1.9347386,-0.32321355,1.7860923,4.165287,1.7037388,1.081751,-0.5075612,-1.2479225,-0.20721395,-1.0554279,1.3564882,-2.0266323,-1.2237028,-0.96407324,-0.27882978,0.24757032,-3.1185763,0.75290334,0.19672522,-0.28518543,0.33967796
grammar,0.95879215,-0.8093619,-1.3540304,-0.59445167,3.1103628,2.291339,-3.3432224,-0.14460878,0.37856442,2.8704755,-1.868349,-0.07836366,-0.3572419,-0.6860323,-2.5653608,0.6170679,-1.308665,-0.5654124,0.86392045,1.2348526,-0.47936413,2.6946018,-2.6698608,-0.9919587,2.473923,2.1959012,-1.4200605,-2.1736758,2.6010935,0.14372444,-0.12166689,-0.57834876,-0.29421088,-1.6274322,-1.2492243,2.1378126,1.1330218,0.56002444,1.5274942,-1.6691824,-0.96395046,-1.6548029,-0.28500453,-0.41401982,1.3536472,1.5777688,-0.6641306,-0.5836478,-0.92376655,0.79307514
alfred,-0.19287448,-1.5779079,-0.31006873,-1.1729689,0.49511114,0.45567966,0.8595041,0.525474,1.0836817,0.46702772,-0.6075572,-0.013963529,-0.32233313,0.30876234,-1.2079213,1.0206031,-0.06789908,-0.80752635,-1.1093779,-2.1122065,-1.894005,-1.8735542,1.2143776,0.6833831,-0.91639936,0.9976416,0.2960405,-1.8166012,-0.65245014,-0.6331515,0.06185465,-1.3885924,0.8877274,-0.89896756,-0.363445,0.46874267,-0.8108964,0.16987942,1.9111984,-1.7135782,-1.4675072,-0.56660616,-0.04160212,2.1657019,-0.505548,1.7348561,1.731014,-2.027872,0.69930524,-1.2976598
subjects,0.8740075,-0.30566525,0.09505193,0.9018142,2.8082888,-0.09992023,-1.3489077,-1.1853039,-1.8290851,0.9902435,-1.2406301,-0.68578255,2.0052164,-1.6933692,-0.097289935,0.20439675,-1.2574583,-0.4251961,-0.7039396,0.6208784,-3.0815287,-1.8096261,-2.1119196,-2.57756,-0.15472281,1.2375928,1.0451258,-0.29496413,-0.30892584,0.062803395,0.28162915,0.16019271,2.8274686,0.32888308,-0.45053348,0.5141904,0.24986602,0.15449587,0.5033346,0.34249327,-0.46068823,0.70075005,1.3816926,0.67477477,-1.6484276,1.561727,-0.90554726,-0.9982306,0.0038999703,1.289376
interview,-0.110927336,2.0659993,-2.5777767,0.08108397,-1.482748,1.9216151,0.36963806,2.7492678,0.6993996,-1.5638871,-1.1693659,-1.3202733,-0.7609972,-0.4537176,0.8695932,-1.16696,-0.46457255,1.9159617,-1.3459672,-0.5858877,-1.866059,1.0151141,0.49090245,2.1139743,-1.9352854,2.2034144,0.124153644,-2.1311734,-0.11890664,2.687168,2.4504015,0.67395955,1.6844519,-0.5917162,0.588195,1.4413131,-4.121775,-1.2570233,2.133754,-3.1821182,-0.3330315,-0.8116288,-0.46178582,0.8542596,-0.83056724,-1.746833,5.107778,-2.6266525,-2.6463375,0.27054557
younger,0.8285984,-1.2065557,1.1864936,-1.5806553,-0.89597017,-0.96473455,-1.4923671,-2.8590028,0.018522834,1.5891433,-0.35821703,-0.07337608,0.51692253,-1.2569387,-0.92271364,1.1034949,2.4607968,-0.6290991,-3.0637932,-0.4660749,-0.83027977,-3.4951146,0.52318275,2.2241423,-2.2169766,0.09352902,-0.5137083,-0.90699905,-0.7696841,-0.56596375,0.7391955,2.7709074,2.1077526,-0.6118238,-1.8267356,0.6760402,2.1153884,1.0311279,0.06741681,-2.0871708,-0.5344736,-0.4491792,1.2779682,2.4231086,-0.22963415,0.008091478,0.5633176,2.2549617,-1.0174708,0.37880215
stable,-1.2748487,-0.21786718,1.7593488,1.0176663,0.35878402,-0.73838323,0.22148666,-1.0030146,1.8926003,-1.1115006,0.88120335,-0.5316993,0.47770384,-0.61258215,-1.2782232,1.0290341,0.8463896,1.672223,-0.055906467,3.0065014,2.4967694,2.7580764,-1.2255411,0.08542258,0.0464212,-0.7002861,1.9236019,-0.5816252,-1.2872133,-0.4376194,-1.8457507,2.4099925,-2.509239,-0.24557121,-0.12202645,1.2677453,0.4720292,-1.0954355,-2.1587257,1.146323,-1.3295754,-1.3191922,0.59807104,0.7077153,0.026586406,0.9221507,-1.110757,-1.0406638,-0.42437392,0.7891829
jersey,-0.14373365,-3.138039,0.14839897,-2.5884638,-2.7597694,1.4027153,0.48563984,1.3639641,-0.11915595,3.6374922,2.7195017,-1.7291461,-0.49972054,-0.06960553,0.12303064,2.6629186,-1.6121464,3.1387317,0.085362025,-0.73519653,-1.7517849,1.2141571,0.19706371,1.4624337,-0.7530313,-1.008397,-0.3926355,1.292404,0.6652901,1.0350958,-2.39559,-2.0912983,0.0029755032,0.7798529,2.4013143,-1.6459762,0.9599638,-0.5222976,-0.7172224,-0.45089102,0.7112974,0.26584256,-0.8969242,0.6399889,1.9886189,-0.36622095,2.2531624,-2.365535,-2.1425693,0.35217798
howard,0.5032721,-0.5812213,-0.7761262,-0.17575447,0.30923116,0.28310704,0.83900714,0.106589064,0.44880968,-0.7450358,-1.0951593,-0.21476582,-1.0482363,-0.14167254,-0.10667165,0.706051,-0.2847796,-0.23119445,-2.1522148,-3.1545918,-1.4850622,-1.5207019,2.1977634,2.2465045,-2.2200797,0.65474963,-0.79027754,-0.52866256,-0.4416859,-0.75985664,0.13884829,1.2552223,0.74570507,-0.37705797,-0.7784809,0.0970634,-1.1725549,-0.34526604,0.6152495,-1.4284343,0.24575122,-0.26716858,-1.426047,0.99518204,-1.0767329,1.2814372,2.9887798,-2.0333548,0.94788045,-0.9970914
opinion,1.8563198,2.3343685,0.4222638,1.056468,3.1140823,0.50056887,0.049989086,-0.65882945,-0.94370985,-0.5039831,-0.19983585,-0.91568124,-0.44366005,-2.7810533,0.20551457,0.23578368,-2.46602,1.1318969,-0.5028113,-0.81161046,-2.9137154,-1.2150629,-1.8893198,-2.0418184,2.039626,0.24991141,0.6785869,0.0965247,1.3962824,1.1888593,0.75439733,2.4960918,0.20390077,0.9542826,1.7238176,0.7809408,-0.7598151,-1.1418983,0.47168696,-1.2053115,-0.2848756,1.343054,-0.65980965,0.85656136,-1.8584535,-0.35421836,0.049812257,-1.3750005,-1.3949333,-1.562952
experiment,-1.1705999,1.1413423,0.9448487,1.6074771,-0.73018384,0.53684884,-0.39778987,0.78045934,2.5465746,0.063482024,0.15943776,-0.8474839,-1.4034469,-0.7036358,-0.5281543,-0.2998874,1.1843672,0.3868165,0.11017782,1.1500521,-1.6241169,-0.57070035,-1.1281177,-0.052330576,-1.2196689,2.429295,1.0979692,-0.16285315,0.32451695,1.7085824,-0.2535029,-1.28959,-0.10764487,-0.091647014,0.04552732,1.3333952,-3.1688292,-1.4845846,3.0952659,0.13442546,-2.2489998,-1.0568454,0.015541743,0.24618861,-0.93770325,0.9935878,1.0405787,-1.5398958,2.70566,0.60119224
expensive,-1.0518968,-2.0172243,1.2486504,-0.7523515,-0.5350867,-1.0074999,-0.87623286,1.5431696,2.342986,-0.01949938,-0.09942875,-1.1932254,1.3212937,-0.83325315,-0.17203139,-1.500315,0.13384654,-0.46459407,-1.4335093,0.70937276,1.9584225,0.11996409,-2.0783062,0.12919776,0.80834824,2.3839698,0.73326176,1.33263,-3.1062198,-0.004029793,-3.0578778,5.233778,-1.5672988,0.9499787,1.111906,1.2363816,-1.1720852,0.42703268,-1.862065,-0.03357399,-1.4412241,-1.4088678,-0.59044504,-0.74708205,-0.80621487,1.6259255,-3.7735562,1.2140987,-0.9159442,2.2272615
