word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
hampshire,-0.72574,-0.13963,-0.24329,-0.39194,-0.25492,0.74982,-1.4118,0.49097,0.51608,-1.3688,-1.5738,-0.95219,0.41262,-1.1371,-0.93823,0.31571,0.22059,0.05163,-1.068,0.036399,0.2587,0.27596,0.57206,0.73051,0.10818,-1.6412,-0.11049,-0.029251,-0.48053,0.16525,1.0388,0.52319,-0.11172,-0.80814,0.87501,-0.96576,-0.28247,0.57041,-0.10652,-0.82918,-0.22359,0.032916,-1.0115,0.55289,-0.79963,1.3998,-0.52261,-0.0058851,0.39263,0.69696
shock,0.074172,0.19787,0.16417,-0.053335,-0.38162,0.56722,0.8855,1.0922,-0.30781,0.73156,0.48274,-0.23468,-0.35313,0.042873,0.19421,0.28142,-0.33127,-0.24359,-1.1894,-0.54137,-0.33059,0.39431,-0.17321,-0.44916,0.36779,-1.3475,-0.62867,0.36287,0.47033,0.56056,2.1909,1.0008,0.54286,-0.58019,-0.52423,0.19509,0.76,-0.7587,0.72236,-0.67214,0.20979,0.27679,-0.39452,-0.029636,0.82993,0.9329,-0.016932,0.25214,0.17316,-0.20658
wisconsin,-1.4049,0.16776,-0.21492,-0.16887,-0.63607,0.49071,-1.475,0.19253,0.50538,-0.94207,-0.50138,-1.0194,0.78651,-1.0597,-0.94049,-0.5946,-0.054712,0.34645,-0.79347,0.06203,-0.029304,-0.84517,0.32283,0.10376,-0.27886,-1.7448,-0.01185,0.072909,-0.27723,-0.90545,1.1354,-0.41408,-0.19231,-0.97352,-0.0053062,-1.1563,-0.41627,0.64342,0.97759,0.18309,-0.62665,-0.46985,-0.14294,0.085996,-0.45955,0.43211,-0.18728,-0.53864,-0.22794,0.83652
literary,-0.52904,1.4861,-1.5357,-0.57464,0.24125,0.2869,-0.65285,-0.54839,-0.33134,0.92757,-0.16112,0.57312,0.29883,0.13693,0.19694,-1.1263,0.4522,0.062854,-0.027388,0.31692,0.94534,0.21059,-0.060365,0.51549,0.60733,-1.0927,-2.0532,-0.76484,-0.8959,0.63028,1.8624,-0.77674,0.51738,-1.184,-0.5478,0.20954,-1.2389,0.73767,-0.51046,0.074354,0.79196,0.24582,-0.42477,0.43658,-0.5913,-0.027384,0.042094,0.46935,-0.34633,-0.59485
wealth,0.42279,0.86227,0.3987,-0.034586,1.0986,0.12627,0.10135,-0.51194,0.37358,0.8005,0.022985,0.58483,0.23457,-1.2294,0.29233,0.33434,0.9514,-0.1158,0.59424,0.0638,0.57685,-0.37619,0.0029799,-0.7148,-0.25235,-0.89872,-1.0002,-0.44859,0.76998,0.91257,2.2001,0.65464,0.65468,-0.80137,-0.63692,0.24926,-2.1514,0.34502,0.18862,-0.50031,-0.051824,0.030396,0.18808,0.75093,-1.0585,-0.42305,-0.95161,-0.1761,0.24179,-0.96652
mouth,0.5062,-0.30112,-0.75602,-0.67746,-0.314,0.51591,0.056298,0.32996,1.391,-0.11981,-0.022556,0.33975,0.60955,-0.11306,-0.566,0.2896,-0.0041538,-0.13717,-0.72333,-0.044538,-0.39265,-0.050465,1.0368,0.18814,0.63012,-1.6526,-0.25102,1.7135,0.52646,-1.3134,2.348,-0.049676,0.76345,0.44039,-0.88587,0.066858,0.083713,-0.19318,0.92961,-0.23976,0.2993,0.40334,-0.38476,0.3984,0.29258,-0.11351,0.58809,-0.97932,0.098091,-0.47937
feared,0.78095,-0.89784,1.0192,-0.60829,-0.18764,-0.050935,-0.30571,1.0886,-0.13323,-0.14851,0.10637,-0.19491,-0.30465,0.15647,0.6303,0.095085,0.13989,-0.24926,-0.44779,-0.024285,-0.67637,-0.013266,0.11961,0.021185,0.17975,-1.8393,-0.48012,-0.41572,0.32041,0.81767,1.76,0.1228,0.25644,-0.55383,-0.19313,0.010858,-0.21325,-0.99784,-0.00351,-0.029279,-1.0468,0.3264,0.49519,0.31497,1.0011,-0.028562,-1.035,0.23409,0.0039977,-0.75227
expanding,0.40589,-0.10411,0.26542,-0.37302,0.048936,0.081018,-0.6652,-0.9616,0.81111,0.16165,0.33783,-0.40927,-0.09507,0.084988,-0.49348,0.62261,0.20566,0.056664,0.797,0.067088,0.92314,-0.55599,-0.65144,-0.050731,-0.23194,-0.91331,0.55324,0.0034876,0.56924,0.28738,2.7317,0.7033,0.25914,-0.66321,-0.58837,-0.32443,-1.1116,0.55629,-0.78495,-0.02029,-0.68455,-0.48322,0.38975,-0.15654,-0.4226,-0.16326,0.17918,0.37883,-0.73045,0.20401
laboratory,1.283,-0.025178,-0.047784,0.268,-0.24937,-0.26352,-0.62975,-0.77414,1.3298,-0.3473,1.0209,-0.17451,0.24238,0.37792,-0.4214,0.39359,-0.25726,1.2289,-1.1146,0.044761,0.27567,0.30305,0.33161,-0.61648,-0.035927,-1.2009,-0.22157,-0.13071,-0.85359,-0.26536,1.6949,-1.2308,-0.5661,-2.2837,0.29953,0.41527,0.29872,1.5284,1.5726,0.22887,0.20775,-0.64628,0.60273,0.57684,1.0452,0.63479,0.88489,0.39217,-0.30254,0.3523
thinks,-0.075563,-0.0047376,0.26955,-0.05053,0.85606,0.07523,-0.43732,-0.0033569,-0.089752,0.21848,-0.017594,0.61461,-0.5095,-0.22071,0.77636,0.81045,0.68044,0.25285,0.41984,-0.36871,-0.57122,0.40228,-0.1708,0.38443,0.93271,-1.8903,-0.35513,0.10972,0.45897,-0.42602,1.4299,0.18319,-0.15459,-0.38918,-0.31123,-0.68762,-0.36771,0.26221,0.43556,-0.61164,-0.1256,0.39548,-0.11872,0.14041,0.28689,0.048129,-0.099539,0.13907,0.12393,1.297
chase,0.50084,-0.038045,0.59454,0.51619,0.46982,0.13161,-0.75612,0.46711,0.1276,-0.40004,-0.92774,0.43843,-1.2952,-0.24574,-0.10179,-0.17517,0.51769,-0.11608,-1.3613,-0.53688,0.84064,0.24814,-0.12183,0.27825,-0.17193,-0.9619,0.079416,-0.56231,0.17705,-0.57401,1.4479,0.1554,0.56605,0.27126,0.65194,-0.62343,-0.46422,-0.70273,0.10816,-0.83872,-0.22561,-0.34125,0.034664,0.08579,0.40496,-0.46865,0.42947,-0.62046,0.19776,0.61809
clothing,-0.48838,-0.14946,-0.68881,-0.3439,0.69232,0.50978,-1.0784,-1.5129,0.62704,-0.1961,0.71222,-0.4785,0.399,-0.42783,0.57652,0.65019,-0.95385,-0.06527,0.86584,-1.3137,0.68668,0.47891,-0.63543,-0.10316,-1.2064,-0.47119,-1.2383,0.56266,1.2842,-0.47609,2.2157,0.4989,0.46178,0.25003,0.26946,1.0821,-0.13598,0.58334,-0.15941,0.027146,0.43757,0.36275,0.93056,0.088107,1.2573,-0.41587,-0.44635,-0.76373,0.1588,-0.1984
height,-0.15016,1.5301,0.88795,-0.78241,0.2599,0.41184,1.1237,-0.87209,0.035223,-0.41803,-0.16216,-0.72233,0.07737,-0.17916,0.084385,0.44652,0.07876,0.32195,-1.0943,-0.36995,-0.67704,-0.68527,-0.25585,-0.79073,0.28487,-0.59697,0.0074851,0.59006,0.55065,1.005,2.6534,-0.19319,0.32837,0.014232,-0.00052213,0.072638,0.37824,0.030126,-0.32807,-0.34873,-0.35237,-0.14279,0.33681,0.55331,-0.76092,-0.48618,0.97924,-0.91583,-0.28969,-0.46711
traditionally,-0.11223,-0.20898,-0.98002,-0.56628,0.60529,0.11273,-0.49298,-0.060323,-0.56395,-0.15452,0.3159,-0.61379,1.1651,0.085499,-0.22991,0.44246,0.19184,-0.053452,0.24574,-0.40268,-0.069491,-0.79096,0.1866,0.76151,-0.43025,-1.003,-0.59512,0.059793,-0.2462,0.29425,2.7331,0.49683,0.17736,-0.059857,-0.057655,-0.20727,-0.57643,0.6025,-1.1848,0.066609,-0.39382,0.0025664,-0.34102,0.62434,0.2077,0.12458,-0.64193,-0.13247,-0.31941,-0.44375
