word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24
though,-0.065511,-0.10522,0.096907,-0.49758,-0.21199,-0.0012482,1.6335,-0.62905,-1.015,0.16611,-0.52628,0.94696,-4.7845,-0.13302,0.99503,0.1845,0.28176,-1.0301,-0.12599,-0.17317,0.30551,0.48396,0.32332,0.61872,0.020781
gameinsight,0.5292,-1.4237,-1.6115,-1.8166,-0.10061,-1.1378,0.59643,-0.77185,-1.5747,-0.68664,0.62987,0.25043,-1.1243,-1.6592,-1.4389,1.5199,0.82417,-0.27687,0.10022,-0.5021,-1.4888,-2.5375,-0.37511,-0.60472,-0.081329
around,-0.85139,0.17936,0.94352,0.24877,-0.45886,0.75664,0.87669,-0.91907,-0.17499,0.74976,-0.69619,0.51807,-4.9989,0.4084,-0.29264,0.60232,-0.10882,-0.95803,-0.072445,-0.70891,-0.09622,-0.40839,0.83019,-0.79145,-0.024732
money,0.36412,1.7364,-0.69661,0.28056,0.7324,0.25299,0.30951,-0.73403,-0.27963,0.40459,-0.042116,0.10481,-4.9592,-0.33304,-0.16283,-0.31812,0.44274,-0.7354,0.23874,0.032485,0.12587,-0.082511,0.39956,0.32139,0.12204
cool,-0.0045673,-0.43031,-0.34886,-0.32651,0.40524,1.2037,1.1036,0.22803,-0.58716,0.0077757,-0.52403,0.24237,-4.1876,-0.66856,0.065196,0.61802,0.65445,-0.77278,-1.118,0.60481,0.51312,-0.065367,-0.31407,0.41616,0.056425
tho,0.23137,0.86772,0.37081,-0.41655,-0.10009,-0.013498,1.0605,-0.11029,-0.63743,0.75196,-0.99764,1.1776,-4.2133,-0.45646,0.45225,0.14002,0.17384,-1.7134,-0.29319,0.37399,0.79122,0.74625,0.81481,0.7435,0.6872
another,-0.23207,0.94237,-0.0056452,0.20526,0.091339,-0.019816,1.6256,-0.147,-0.32503,-0.57219,-0.30231,0.65193,-4.7871,0.36125,0.2056,-0.46181,0.74962,-0.13513,-0.34387,-0.67783,-0.59481,0.1993,0.54726,-0.52304,-0.46974
top,0.58053,-0.454,0.18977,-0.87207,0.87435,0.56002,0.30758,0.31558,0.051025,-0.64132,0.43632,-0.23557,-4.113,0.11087,-0.34303,-0.34626,-0.1184,-0.395,-1.1161,0.50982,-1.0695,0.052526,-0.14947,-0.47273,-0.007771
family,-1.193,0.63069,0.16883,-0.31611,0.017884,-0.2507,1.581,0.3686,-0.2395,-0.024608,-0.32768,-0.22614,-4.3783,0.51803,-0.0087989,0.078987,0.13064,-0.8887,-0.0063441,0.22619,0.29186,-0.27092,-1.041,-0.62446,-0.070521
thought,0.07125,0.41835,0.72041,-0.19193,-0.56052,-0.0046293,1.7527,-0.48958,-0.78358,-0.0059308,-0.1839,0.95593,-4.8464,-0.16972,0.55099,0.32008,0.93997,0.12381,-0.066844,-0.3602,0.94202,0.59635,0.0053392,0.27412,-0.65331
christmas,-1.2683,0.1637,0.94297,-0.24019,-0.059781,-0.6111,2.2597,-0.57582,-1.044,-0.3829,0.041206,-0.3066,-4.0827,0.49312,-0.47918,-0.45086,0.83705,-0.87904,-0.65342,0.67294,-1.1446,-0.50034,-0.41267,0.5155,0.27516
years,0.05831,0.70513,0.90626,-0.44321,0.064851,-0.449,1.4413,-0.32564,-1.0591,0.054169,0.21992,0.4644,-4.5026,1.2741,0.038245,-0.52827,0.025833,0.10357,-0.088506,-0.50977,-0.55164,0.45696,-0.38014,-0.21843,-0.20385
head,-0.96268,0.24157,0.34056,0.33697,0.41297,0.27009,0.9298,-0.40871,0.22449,0.59081,0.0018873,1.0077,-4.6487,-0.29821,0.20738,-0.48601,0.29869,-0.54823,-0.46148,-0.52159,0.19696,1.0243,1.6885,-0.031783,-0.086136
food,-0.57889,0.52137,-0.17892,0.2232,0.61681,0.17616,1.6829,-1.35,0.027486,0.95868,0.22251,-0.82603,-4.3866,-0.5528,0.20004,-0.44304,1.3508,-1.0176,0.069551,0.023407,-0.21827,-0.57156,-0.74594,0.26706,0.96434
trying,-0.40906,0.85294,-0.063391,-0.23778,-0.44943,-0.095257,1.6011,-1.1824,-0.038148,-0.086246,-0.40742,0.3779,-4.8959,-0.83283,-0.14904,0.54551,0.17437,-0.65076,0.13512,-1.5807,0.38357,0.53913,0.52133,0.0027191,-0.48631
without,-0.29748,0.55611,-0.090369,0.62711,-0.094778,0.10076,1.5673,-0.84443,-0.5183,0.45118,-0.024614,0.31293,-4.7617,-0.39703,0.39149,0.58412,-0.38698,-0.0050923,0.49155,-0.73857,-0.809,0.17763,-0.17456,0.090621,-0.73461
high,-0.024792,-0.072225,0.25761,-0.77133,0.39728,1.0745,0.86492,-0.42194,0.7083,0.14877,-0.6198,0.14775,-4.6733,0.46544,0.31998,-0.60974,0.263,-0.088093,0.19876,0.15021,-0.39162,0.2472,0.53907,-0.24039,-0.28683
isso,2.3562,-0.9692,0.43545,0.49056,0.44514,-0.26659,0.27634,0.6845,0.83187,-1.2947,-1.9171,-3.0394,-1.4616,-1.3665,0.16582,-0.76482,-2.7845,0.23988,-1.1919,-1.0118,0.15017,1.1365,0.099309,1.5097,-0.099104
might,-0.26652,0.59649,-0.39599,-0.54127,-0.61456,0.4178,1.5391,-0.98929,0.12961,-0.67149,-0.0044665,0.72973,-4.8653,0.15191,0.02351,0.48883,0.54723,-0.60489,0.19945,-1.3021,0.62846,0.23518,0.55778,0.36314,-0.32201
eat,-0.36896,0.75151,0.20904,0.81553,-0.78291,0.74906,1.4803,-1.4017,-0.041383,0.56439,-0.24758,-0.54959,-4.3121,-1.2073,-0.32702,-0.27267,1.2368,-1.5692,0.065546,-0.65893,0.006824,0.65933,0.13181,0.91552,1.3376
iphone,1.4512,-0.24502,0.18376,-0.57901,1.1378,0.3912,0.14374,0.58136,0.020204,0.59911,0.99498,-0.5904,-3.2137,-1.2328,-0.65261,0.28067,0.40164,-0.079185,-0.55249,0.0041486,-0.75008,-1.6819,0.76214,0.30982,-0.49317
